Model,Dataset,Scene,filename,Metric,standard_value,Masked_Value,Difference
linprim,tnt,Barn,linprim_Barn_000001.png,PSNR,23.932415008544922,18.9830379486084,4.949377059936523
linprim,tnt,Barn,linprim_Barn_000009.png,PSNR,26.778060913085938,20.445209503173828,6.332851409912109
linprim,tnt,Barn,linprim_Barn_000017.png,PSNR,24.699113845825195,19.619422912597656,5.079690933227539
linprim,tnt,Barn,linprim_Barn_000025.png,PSNR,23.4200382232666,17.067859649658203,6.352178573608398
linprim,tnt,Barn,linprim_Barn_000033.png,PSNR,27.11312484741211,20.509384155273438,6.603740692138672
linprim,tnt,Barn,linprim_Barn_000041.png,PSNR,28.13043975830078,21.584583282470703,6.545856475830078
linprim,tnt,Barn,linprim_Barn_000049.png,PSNR,27.54958724975586,20.529937744140625,7.019649505615234
linprim,tnt,Barn,linprim_Barn_000057.png,PSNR,26.601598739624023,21.5555477142334,5.046051025390625
linprim,tnt,Barn,linprim_Barn_000065.png,PSNR,27.0577449798584,22.689353942871094,4.368391036987305
linprim,tnt,Barn,linprim_Barn_000073.png,PSNR,26.111217498779297,21.199172973632812,4.912044525146484
linprim,tnt,Barn,linprim_Barn_000081.png,PSNR,25.708311080932617,20.855093002319336,4.853218078613281
linprim,tnt,Barn,linprim_Barn_000089.png,PSNR,26.000043869018555,21.220108032226562,4.779935836791992
linprim,tnt,Barn,linprim_Barn_000097.png,PSNR,27.28084373474121,23.380582809448242,3.9002609252929688
linprim,tnt,Barn,linprim_Barn_000105.png,PSNR,24.57334327697754,18.651330947875977,5.9220123291015625
linprim,tnt,Barn,linprim_Barn_000113.png,PSNR,23.90441131591797,17.097076416015625,6.807334899902344
linprim,tnt,Barn,linprim_Barn_000121.png,PSNR,25.517614364624023,19.048336029052734,6.469278335571289
linprim,tnt,Barn,linprim_Barn_000129.png,PSNR,25.18906593322754,19.421838760375977,5.7672271728515625
linprim,tnt,Barn,linprim_Barn_000137.png,PSNR,27.32302474975586,20.251062393188477,7.071962356567383
linprim,tnt,Barn,linprim_Barn_000145.png,PSNR,29.33588981628418,23.489776611328125,5.846113204956055
linprim,tnt,Barn,linprim_Barn_000153.png,PSNR,28.889530181884766,24.019332885742188,4.870197296142578
linprim,tnt,Barn,linprim_Barn_000161.png,PSNR,24.578962326049805,19.173582077026367,5.4053802490234375
linprim,tnt,Barn,linprim_Barn_000169.png,PSNR,26.020511627197266,19.259273529052734,6.761238098144531
linprim,tnt,Barn,linprim_Barn_000177.png,PSNR,24.100072860717773,17.77431297302246,6.3257598876953125
linprim,tnt,Barn,linprim_Barn_000185.png,PSNR,25.884628295898438,19.413227081298828,6.471401214599609
linprim,tnt,Barn,linprim_Barn_000193.png,PSNR,25.941389083862305,20.30544662475586,5.635942459106445
linprim,tnt,Barn,linprim_Barn_000201.png,PSNR,27.68949317932129,21.623886108398438,6.065607070922852
linprim,tnt,Barn,linprim_Barn_000209.png,PSNR,23.415233612060547,18.462188720703125,4.953044891357422
