Model,Scene,LPIPS,Masked LPIPS,Masked PSNR,Masked SSIM,PSNR,SSIM
linprim,Barn,0.235889732837677,0.2437087744474411,20.888797760009766,0.7331977486610413,26.850767135620117,0.8407555818557739
linprim,Caterpillar,0.27861228585243225,0.31886473298072815,19.37364387512207,0.6402800679206848,21.908796310424805,0.7568187713623047
linprim,Courthouse,0.2943125069141388,0.39317774772644043,17.346330642700195,0.54152512550354,21.340030670166016,0.776653528213501
linprim,Ignatius,0.23929572105407715,0.2365948110818863,18.43828010559082,0.6845553517341614,20.852771759033203,0.7644174695014954
linprim,Meetingroom,0.23280291259288788,0.2093326449394226,17.89263916015625,0.7179728746414185,23.748920440673828,0.8597145676612854
linprim,Truck,0.19937701523303986,0.16471128165721893,19.506336212158203,0.7666459083557129,24.089635848999023,0.8593280911445618
linprim,tnt average,0.24671502908070883,0.2610649988055229,18.907671292622883,0.6806961794694265,23.1318203608195,0.8096146682898203
linprim,bicycle,0.23526868224143982,0.2206002026796341,22.264631271362305,0.7171995639801025,24.660696029663086,0.7397040724754333
linprim,bonsai,0.19457371532917023,0.09573829174041748,26.16287612915039,0.9150091409683228,31.07020378112793,0.9356354475021362
linprim,counter,0.19119316339492798,0.15037836134433746,20.837520599365234,0.8171036839485168,28.407915115356445,0.9049277901649475
linprim,flowers,0.3214915096759796,0.3381107449531555,19.21265411376953,0.5619401335716248,21.52843475341797,0.6106881499290466
linprim,garden,0.11947289109230042,0.1250845342874527,24.666353225708008,0.831348717212677,26.768320083618164,0.8502176403999329
linprim,kitchen,0.12797772884368896,0.09918561577796936,28.230493545532227,0.9234225749969482,29.93701934814453,0.9214518070220947
linprim,room,0.21544994413852692,0.19693517684936523,24.131690979003906,0.8187608122825623,29.963382720947266,0.9137168526649475
linprim,stump,0.24064992368221283,0.23080849647521973,23.19573211669922,0.7241196036338806,25.215608596801758,0.7322918176651001
linprim,treehill,0.34645840525627136,0.3754289448261261,18.895355224609375,0.520740270614624,21.82849884033203,0.6169822216033936
linprim,mp360 average,0.22139288485050201,0.20358559654818642,23.066367467244465,0.758849389023251,26.59778658548991,0.802846199936337
beta_splatting,Barn,0.1931433379650116,0.18264831602573395,23.65946388244629,0.8250970244407654,30.059396743774414,0.8852344751358032
beta_splatting,Caterpillar,0.22057877480983734,0.24851740896701813,22.03304100036621,0.7523829340934753,25.695810317993164,0.8353810906410217
beta_splatting,Courthouse,0.25185325741767883,0.3287959694862366,19.06199836730957,0.6281559467315674,23.712915420532227,0.8170052170753479
beta_splatting,Ignatius,0.21131108701229095,0.2144644409418106,21.458303451538086,0.7684339284896851,25.096445083618164,0.8324313759803772
beta_splatting,Meetingroom,0.19353792071342468,0.16713644564151764,20.549724578857422,0.8017838597297668,28.496597290039062,0.9120292067527771
beta_splatting,Truck,0.16329944133758545,0.13034415245056152,21.80419158935547,0.8388195037841797,27.47321319580078,0.9003406763076782
beta_splatting,tnt average,0.20562063654263815,0.21198445558547974,21.42778714497884,0.7691121995449066,26.75572967529297,0.8637370069821676
beta_splatting,bicycle,0.22522641718387604,0.21278750896453857,23.996875762939453,0.7930772304534912,27.18563461303711,0.8169512748718262
beta_splatting,bonsai,0.15906475484371185,0.07149995863437653,27.22691535949707,0.9442521333694458,34.26286697387695,0.9588825106620789
beta_splatting,counter,0.14794212579727173,0.1085936576128006,23.635427474975586,0.8915618658065796,32.226688385009766,0.9431968927383423
beta_splatting,flowers,0.32810738682746887,0.3446486294269562,20.505573272705078,0.6244814395904541,23.642980575561523,0.6796892881393433
beta_splatting,garden,0.15330207347869873,0.1580725461244583,24.813722610473633,0.8354976773262024,28.00697135925293,0.8609347343444824
beta_splatting,kitchen,0.10923774540424347,0.08583392202854156,30.290956497192383,0.9435498118400574,33.34763717651367,0.9448786973953247
beta_splatting,room,0.16417786478996277,0.1513996422290802,25.788484573364258,0.8776372075080872,34.27171325683594,0.9463526606559753
beta_splatting,stump,0.182778462767601,0.15455672144889832,26.20755386352539,0.8844268321990967,30.5172176361084,0.8829064965248108
