Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
linprim,tnt,Barn,LPIPS,0.235889732837677,0.234151691198349,-0.001738041639328003
linprim,mp360,bicycle,LPIPS,0.2352686822414398,0.2018585056066513,-0.033410176634788485
linprim,mp360,bonsai,LPIPS,0.1945737153291702,0.0904614552855491,-0.1041122600436211
linprim,tnt,Caterpillar,LPIPS,0.2786122858524322,0.334905743598938,0.05629345774650579
linprim,mp360,counter,LPIPS,0.1911931633949279,0.1429081410169601,-0.04828502237796781
linprim,tnt,Courthouse,LPIPS,0.2943125069141388,0.4241569638252258,0.12984445691108698
linprim,mp360,flowers,LPIPS,0.3214915096759796,0.3426779508590698,0.02118644118309021
linprim,mp360,garden,LPIPS,0.1194728910923004,0.1323464214801788,0.012873530387878404
linprim,tnt,Ignatius,LPIPS,0.2392957210540771,0.2249763160943985,-0.014319404959678594
linprim,mp360,kitchen,LPIPS,0.1279777288436889,0.098641037940979,-0.029336690902709905
linprim,tnt,Meetingroom,LPIPS,0.2328029125928878,0.2107846736907959,-0.022018238902091897
linprim,mp360,room,LPIPS,0.2154499441385269,0.189990758895874,-0.025459185242652893
linprim,mp360,stump,LPIPS,0.2406499236822128,0.2195549458265304,-0.0210949778556824
linprim,mp360,treehill,LPIPS,0.3464584052562713,0.3535983860492706,0.007139980792999268
linprim,tnt,Truck,LPIPS,0.1993770152330398,0.173176422715187,-0.02620059251785281
beta_splatting,tnt,Barn,LPIPS,0.1931433379650116,0.1640286445617675,-0.029114693403244102
beta_splatting,mp360,bicycle,LPIPS,0.225226417183876,0.2024657130241394,-0.022760704159736606
beta_splatting,mp360,bonsai,LPIPS,0.1590647548437118,0.0564597994089126,-0.1026049554347992
beta_splatting,tnt,Caterpillar,LPIPS,0.2205787748098373,0.2592728435993194,0.03869406878948209
beta_splatting,mp360,counter,LPIPS,0.1479421257972717,0.0979373380541801,-0.0500047877430916
beta_splatting,tnt,Courthouse,LPIPS,0.2518532574176788,0.3530959486961365,0.1012426912784577
beta_splatting,mp360,flowers,LPIPS,0.3281073868274688,0.3365935385227203,0.008486151695251465
beta_splatting,mp360,garden,LPIPS,0.1533020734786987,0.1629549413919448,0.0096528679132461
beta_splatting,tnt,Ignatius,LPIPS,0.2113110870122909,0.2057971954345703,-0.005513891577720587
beta_splatting,mp360,kitchen,LPIPS,0.1092377454042434,0.0825778022408485,-0.0266599431633949
beta_splatting,tnt,Meetingroom,LPIPS,0.1935379207134246,0.1702839434146881,-0.02325397729873649
beta_splatting,mp360,room,LPIPS,0.1641778647899627,0.1308692991733551,-0.03330856561660761
